index,station_complex_id,station_complex
400,636,"Jay St-MetroTech (A,C,F,R)"
401,370,Whitlock Av (6)
402,2,"Astoria Blvd (N,W)"
403,431,"Intervale Av (2,5)"
404,455,69 St (7)
405,611,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)"
406,16,"8 St-NYU (R,W)"
407,290,Classon Av (G)
408,134,Sutter Av (L)
409,110,Forest Av (M)
410,320,23 St (1)
411,203,"Rockaway Park-Beach 116 St (A,S)"
412,71,8 Av (N)
413,297,215 St (1)
414,325,Canal St (1)
415,6,"39 Av-Dutch Kills (N,W)"
416,28,Union St (R)
417,56,Ocean Pkwy (Q)
418,262,"67 Av (M,R)"
419,246,Avenue I (F)
420,280,Jamaica-Van Wyck (E)
421,327,"Chambers St (1,2,3)"
422,418,"233 St (2,5)"
423,264,"Woodhaven Blvd (M,R)"
424,382,Fordham Rd (4)
425,609,"Bryant Pk (B,D,F,M)/5 Av (7)"
426,266,"Elmhurst Av (M,R)"
427,198,Howard Beach-JFK Airport (A)
